0,月销量,价格,名称,重要度,评论数
14,2852,723,360手机 F4S,"大屏5.5""",0
15,507,4453,HTC U11,"大屏5.5""",0
16,61786,112,纽曼 M560,"小屏2.4""",10145
17,2326,819,小辣椒 红辣椒6,"中屏5.2""",0
18,855,2422,LG G6,"大屏5.7""",0
19,16090,89,誉品 Y550,"小屏2.8""",0
20,4460,1516,小米 小米手机5,"中屏5.15""",29243
21,4167,1723,华为 MATE8,"大屏6.0""",16681
22,564,2999,HTC U Ultra,"大屏5.7""",0
23,876,1808,三星 Galaxy C7,"大屏5.7""",1476
24,957,1868,vivo X7,"中屏5.2""",3042
25,1082,1590,中兴 V7 MAX,"大屏5.5""",0
26,494,3499,金立 M6S Plus,"大屏6.0""",0
27,86325,99,尼凯恩 EN3,"小屏2.4""",0
28,1623,968,LG G5,"中屏5.3""",207
29,525,3089,摩托罗拉 Moto Z,"大屏5.5""",0
30,2661,2106,三星 Galaxy S6 Edge,"中屏5.1""",13878
31,2062,719,小米 红米4,"中屏5.0""",0
32,2077,699,中兴 BA603,"中屏5.0""",0
33,68637,107,尼凯恩 EN8,"小屏2.4""",36889
34,139,10846,三星 SM-W2017,"小屏4.2""",0
35,702,2090,谷歌 Pixel XL,"大屏5.5""",0
36,1015,1379,三星 Galaxy On7(2016),"大屏5.5""",0
37,836,1923,索尼 Xperia XZ,"中屏5.2""",0
38,911,1462,三星 Galaxy Folder 2,"小屏3.8""",0
39,436,3849,AGM X2,"大屏5.5""",0
40,4335,289,诺基亚 216 DS,"小屏2.4""",0
41,933,1223,三星 SM-J3300,"中屏5.0""",0
42,12754,122,小辣椒 G108,"小屏2.4""",0
43,65371,2324,苹果 iPhone 6,"中屏4.7""",187546
44,895,1609,LG V20,"大屏5.7""",0
45,397,3474,黑莓 KEYone,"中屏4.5""",0
46,1940,658,魅族 魅蓝3s,"中屏5.0""",3499
47,1972,2033,OPPO R9,"大屏5.5""",23657
0,1351,2869,三星 Galaxy S6 Edge+(G9280),"大屏5.7""",5591
1,836,1490,锤子 坚果Pro 32GB版,"大屏5.5""",0
2,1143,3168,三星 Galaxy S7,"中屏5.1""",2435
3,2244,498,誉品 I7S,"大屏5.5""",0
4,7243,371,魅族 魅蓝note2,"大屏5.5""",90422
5,831,1431,ZUK Z2,"中屏5.0""",1854
6,134,12999,8848 M4,"中屏5.15""",0
7,653,1748,HTC Desire 10 pro,"大屏5.5""",0
8,2984,1135,小米 红米Note 3,"大屏5.5""",107099
9,12597,75,纽曼 L6,"小屏2.0""",755
10,385,2499,努比亚 Z17畅享版,"大屏5.5""",0
11,25113,90,天语 T2,"小屏2.4""",6650
12,624,1708,三星 Galaxy A9 高配版,"大屏6.0""",2027
13,10819,2244,苹果 iPhone 6 Plus,"大屏5.5""",66915
14,628,1647,魅族 PRO 6,"中屏5.2""",6447
15,638,1594,三星 Galaxy C5,"中屏5.2""",5484
16,8873,98,誉品 Y580,"小屏2.4""",0
17,397,2641,一加手机3T,"大屏5.5""",0
18,3406,733,荣耀 荣耀7,"中屏5.2""",53401
19,369,3680,小辣椒 X7,"大屏5.5""",0
20,572,1756,摩托罗拉 Moto Z Play,"大屏5.5""",0
21,902,2954,三星 Galaxy Note 5,"大屏5.7""",4759
22,1096,927,中兴 Blade A2 Plus,"大屏5.5""",0
23,157,6999,金立 M2017,"大屏5.7""",0
24,426,2343,努比亚 Z11,"大屏5.5""",36
25,622,1731,联想 P2,"大屏5.5""",0
26,15618,841,苹果 iPhone 5s,"小屏4.0""",339089
27,9092,230,中兴 L660,"小屏2.4""",0
28,991,996,三星 Galaxy On5（2016）,"中屏5.0""",0
29,4431,671,华为 畅享5s,"中屏5.0""",32437
30,1308,717,荣耀 畅玩5A,"大屏5.5""",589
